group,function,value,sample_time_nanos,iteration_count
hash_to_g1,,,1090600.0,6
hash_to_g1,,,2064400.0,12
hash_to_g1,,,3091300.0,18
hash_to_g1,,,4085900.0,24
hash_to_g1,,,5106400.0,30
hash_to_g1,,,6132500.0,36
hash_to_g1,,,7138200.0,42
hash_to_g1,,,8182000.0,48
hash_to_g1,,,9173600.0,54
hash_to_g1,,,10185200.0,60
hash_to_g1,,,11176900.0,66
hash_to_g1,,,12114600.0,72
hash_to_g1,,,12834500.0,78
hash_to_g1,,,13822300.0,84
hash_to_g1,,,14822800.0,90
hash_to_g1,,,15803300.0,96
hash_to_g1,,,16769700.0,102
hash_to_g1,,,17750400.0,108
hash_to_g1,,,18756600.0,114
hash_to_g1,,,19742200.0,120
hash_to_g1,,,20759000.0,126
hash_to_g1,,,21731700.0,132
hash_to_g1,,,22664900.0,138
hash_to_g1,,,23624500.0,144
hash_to_g1,,,24655200.0,150
hash_to_g1,,,25603900.0,156
hash_to_g1,,,26595600.0,162
hash_to_g1,,,27535200.0,168
hash_to_g1,,,27699400.0,174
hash_to_g1,,,29379600.0,180
hash_to_g1,,,29834300.0,186
hash_to_g1,,,31179900.0,192
hash_to_g1,,,31499600.0,198
hash_to_g1,,,33030600.0,204
hash_to_g1,,,33981200.0,210
hash_to_g1,,,34541700.0,216
hash_to_g1,,,35444200.0,222
hash_to_g1,,,37453700.0,228
hash_to_g1,,,38444300.0,234
hash_to_g1,,,40007400.0,240
hash_to_g1,,,41517900.0,246
hash_to_g1,,,42746700.0,252
hash_to_g1,,,43993600.0,258
hash_to_g1,,,44968400.0,264
hash_to_g1,,,45790100.0,270
hash_to_g1,,,45911900.0,276
hash_to_g1,,,46239800.0,282
hash_to_g1,,,47270700.0,288
hash_to_g1,,,48284200.0,294
hash_to_g1,,,49245600.0,300
hash_to_g1,,,50199100.0,306
hash_to_g1,,,51209000.0,312
hash_to_g1,,,51286400.0,318
hash_to_g1,,,51848800.0,324
hash_to_g1,,,54079100.0,330
hash_to_g1,,,55104400.0,336
hash_to_g1,,,55144200.0,342
hash_to_g1,,,56508200.0,348
hash_to_g1,,,58285000.0,354
hash_to_g1,,,60628600.0,360
hash_to_g1,,,62473000.0,366
hash_to_g1,,,63465400.0,372
hash_to_g1,,,66222900.0,378
hash_to_g1,,,65012900.0,384
hash_to_g1,,,64190700.0,390
hash_to_g1,,,64889500.0,396
hash_to_g1,,,65944000.0,402
hash_to_g1,,,66865000.0,408
hash_to_g1,,,67797600.0,414
hash_to_g1,,,68344500.0,420
hash_to_g1,,,68685300.0,426
hash_to_g1,,,69687200.0,432
hash_to_g1,,,70492800.0,438
hash_to_g1,,,72581700.0,444
hash_to_g1,,,75429000.0,450
hash_to_g1,,,79377500.0,456
hash_to_g1,,,80797400.0,462
hash_to_g1,,,79289800.0,468
hash_to_g1,,,77943100.0,474
hash_to_g1,,,78817800.0,480
hash_to_g1,,,79810400.0,486
hash_to_g1,,,79272800.0,492
hash_to_g1,,,80477100.0,498
hash_to_g1,,,82153000.0,504
hash_to_g1,,,82992300.0,510
hash_to_g1,,,83867100.0,516
hash_to_g1,,,85776800.0,522
hash_to_g1,,,90901100.0,528
hash_to_g1,,,94007800.0,534
hash_to_g1,,,95128600.0,540
hash_to_g1,,,95622200.0,546
hash_to_g1,,,96557000.0,552
hash_to_g1,,,96739200.0,558
hash_to_g1,,,97264100.0,564
hash_to_g1,,,98657900.0,570
hash_to_g1,,,99829300.0,576
hash_to_g1,,,101244800.0,582
hash_to_g1,,,104871100.0,588
hash_to_g1,,,105141900.0,594
hash_to_g1,,,105205400.0,600
